thisRow.t,notes,step1.started,instruct.started,instruct_mouse.started,next_text.started,step1.stopped,instruct_mouse.x,instruct_mouse.y,instruct_mouse.leftButton,instruct_mouse.midButton,instruct_mouse.rightButton,instruct_mouse.time,instruct_mouse.clicked_name,step2.started,instruct2.started,instruct_mouse2.started,next_text2.started,step2.stopped,instruct_mouse2.x,instruct_mouse2.y,instruct_mouse2.leftButton,instruct_mouse2.midButton,instruct_mouse2.rightButton,instruct_mouse2.time,instruct_mouse2.clicked_name,step3_pretest.started,pretest.started,step3_mouse.started,step3_next.started,step3_pretest.stopped,pretest.index,pretest.itemText,pretest.type,pretest.font,pretest.markerColor,pretest.response,pretest.rt,step3_mouse.x,step3_mouse.y,step3_mouse.leftButton,step3_mouse.midButton,step3_mouse.rightButton,step3_mouse.time,step3_mouse.clicked_name,step4_qestion1.started,question1.started,step4_mouse.started,step4_next.started,step4_qestion1.stopped,question1.index,question1.itemText,question1.type,question1.font,question1.markerColor,question1.response,question1.rt,step4_mouse.x,step4_mouse.y,step4_mouse.leftButton,step4_mouse.midButton,step4_mouse.rightButton,step4_mouse.time,step4_mouse.clicked_name,participant,session,date,expName,psychopyVersion,expStart,
,,0.012900200000331097,0.020214600000144856,0.012674499999775435,0.020214600000144856,1.2861000000002605,[0.005555555555555556],[-0.375],[1],[0],[0],[1.2727514999996856],['next_text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,1.2943326000004163,1.317823500000486,0.008168700000169338,1.317823500000486,1.8684279000008246,[0.006481481481481481],[-0.375],[1],[0],[0],[0.5736216000004788],['next_text2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.8688780000002225,2.0342632000001686,0.00039399999968736665,2.0342632000001686,7.850197800000387,0,Please answer the following questions:,heading,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Type an random number for your ID,free text,None,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Please select your age,radio,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,How many siblings do you have,radio,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Please select your current mood,slider,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,What does the standard deviation measure?,choice,None,None,C) How spread out the data values are around the mean indicating the typical deviation from the average value.,2.1002056999996057,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,What is the primary difference between the formula for population standard deviation (σ) and sample standard deviation (s)?,choice,None,None,B) The sample formula squares the deviations while the population formula does not.,3.1200951999999234,,,,,,,,,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4064814814814815, -0.4101851851851852, -0.4111111111111111, -0.04351851851851852]","[0.09444444444444444, 0.09351851851851851, -0.15, -0.3925925925925926]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.481295300000056, 4.081114900000102, 5.230748699999822, 5.9808304999996835]","[None, None, None, 'step3_next']",,,,,,,,,,,,,,,,,,,,026091,001,2025-03-31_21h06.50.138,tutorial,2024.2.4,2025-03-31 21h06.56.409087 -0500,
