thisRow.t,notes,step1.started,instruct.started,instruct_mouse.started,next_text.started,step1.stopped,instruct_mouse.x,instruct_mouse.y,instruct_mouse.leftButton,instruct_mouse.midButton,instruct_mouse.rightButton,instruct_mouse.time,instruct_mouse.clicked_name,step2.started,instruct2.started,instruct_mouse2.started,next_text2.started,step2.stopped,instruct_mouse2.x,instruct_mouse2.y,instruct_mouse2.leftButton,instruct_mouse2.midButton,instruct_mouse2.rightButton,instruct_mouse2.time,instruct_mouse2.clicked_name,step3_pretest.started,pretest.started,step3_mouse.started,step3_next.started,step3_pretest.stopped,pretest.index,pretest.itemText,pretest.type,pretest.font,pretest.markerColor,pretest.response,pretest.rt,step3_mouse.x,step3_mouse.y,step3_mouse.leftButton,step3_mouse.midButton,step3_mouse.rightButton,step3_mouse.time,step3_mouse.clicked_name,participant,session,date,expName,psychopyVersion,expStart,
,,0.013767100000222854,0.021437200000036682,0.013460199999826727,0.021437200000036682,9.182271200000287,[0.001851851851851852],[-0.3398148148148148],[1],[0],[0],[9.168031399999563],['next_text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,9.1901170000001,9.197428200000104,0.007771200000206591,9.197428200000104,9.931627599999956,[-0.005555555555555556],[-0.3472222222222222],[1],[0],[0],[0.741087399999742],['next_text2'],,,,,,,,,,,,,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,9.93200969999998,10.09704210000018,0.0003249000001233071,10.09704210000018,51.334204100000534,0,Please answer the following questions:,heading,None,None,,,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Type an random number for your ID,free text,None,None,,None,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Please select your age,radio,None,None,None,None,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,How many siblings do you have,radio,None,None,None,None,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Please select your current mood,slider,None,None,None,None,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,What does the standard deviation measure?,choice,None,None,B) The difference between the highest and lowest values in a dataset.,35.40114520000043,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,What is the primary difference between the formula for population standard deviation (σ) and sample standard deviation (s)?,choice,None,None,A) The population formula uses the median while the sample formula uses the mean.,35.237817899999754,,,,,,,,533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.737037037037037, -0.2175925925925926, -0.21851851851851853, 0.025925925925925925]","[-0.2657407407407407, -0.08148148148148149, -0.08796296296296297, -0.39537037037037037]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[29.972170099999857, 35.12039000000004, 36.803188099999716, 41.4016531999996]","[None, None, None, 'step3_next']",533237,001,2025-03-31_20h44.32.534,tutorial,2024.2.4,2025-03-31 20h44.38.191492 -0500,
