thisRow.t,notes,step1.started,instruct.started,instruct_mouse.started,next_text.started,step1.stopped,instruct_mouse.x,instruct_mouse.y,instruct_mouse.leftButton,instruct_mouse.midButton,instruct_mouse.rightButton,instruct_mouse.time,instruct_mouse.clicked_name,step2.started,instruct2.started,instruct_mouse2.started,next_text2.started,step2.stopped,instruct_mouse2.x,instruct_mouse2.y,instruct_mouse2.leftButton,instruct_mouse2.midButton,instruct_mouse2.rightButton,instruct_mouse2.time,instruct_mouse2.clicked_name,step3_pretest.started,pretest.started,step3_mouse.started,step3_next.started,step3_pretest.stopped,pretest.index,pretest.itemText,pretest.type,pretest.font,pretest.markerColor,pretest.response,pretest.rt,step3_mouse.x,step3_mouse.y,step3_mouse.leftButton,step3_mouse.midButton,step3_mouse.rightButton,step3_mouse.time,step3_mouse.clicked_name,step4_qestion1.started,question1.started,step4_mouse.started,step4_next.started,ai_dialog.started,step4_qestion1.stopped,question1.index,question1.itemText,question1.type,question1.font,question1.markerColor,question1.response,question1.rt,step4_mouse.x,step4_mouse.y,step4_mouse.leftButton,step4_mouse.midButton,step4_mouse.rightButton,step4_mouse.time,step4_mouse.clicked_name,ai_dialog.text,participant,session,date,expName,psychopyVersion,expStart,
,,0.01314639999998235,0.023144399999978305,0.012918000000013308,0.023144399999978305,0.9245667999999796,[0.044444444444444446],[-0.37962962962962965],[1],[0],[0],[0.910880900000052],['next_text'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,0.9322695000000749,0.9398224999999911,0.007635100000015882,0.9398224999999911,1.4739538999999695,[0.03611111111111111],[-0.37777777777777777],[1],[0],[0],[0.541198799999961],['next_text2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.4743554000000358,1.6051380000000108,0.0003447000000278422,1.6051380000000108,2.478607800000077,0,Please answer the following questions:,heading,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Type an random number for your ID,free text,None,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Please select your age,radio,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,How many siblings do you have,radio,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Please select your current mood,slider,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,What does the standard deviation measure?,choice,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,What is the primary difference between the formula for population standard deviation (σ) and sample standard deviation (s)?,choice,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[0.03518518518518519],[-0.3712962962962963],[1],[0],[0],[1.0038041000000248],['step3_next'],,,,,,,,,,,,,,,,,,,,,,996521,001,2025-04-09_19h16.34.739,tutorial,2024.2.4,2025-04-09 19h16.40.634885 -0500,
